"","modstr","Group","plotid","theta","Ntot","median.peak.time","LIQR.peak.time","UIQR.peak.time","median.peak.I.prop","LIQR.peak.I.prop","UIQR.peak.I.prop"
"1","SEIR","dense","DLIS002",0.1,2880,43.5,28.75,75,0.002,0.001,0.003
"2","SEIR","dense","DLIS002",0.1,4320,46,31.75,62.75,0.001,0.001,0.003
"3","SEIR","dense","DLIS002",0.5,2880,82,45.5,141.5,0.005,0.003,0.006
"4","SEIR","dense","DLIS002",0.5,4320,115,106.25,125.25,0.03,0.027,0.033
"5","SEIR","dense","DLIS002",1,2880,123,111,157.5,0.026,0.023,0.028
"6","SEIR","dense","DLIS002",1,4320,89,80,100.75,0.057,0.053,0.06
"7","SEIR","dense","DLIS002",2,2880,86,78,96.5,0.056,0.052,0.06
"8","SEIR","dense","DLIS002",2,4320,63,58,71,0.092,0.088,0.095
"9","SEIR","dense","DLIS002",10,288,32.5,26,45.25,0.014,0.01,0.015
"10","SEIR","dense","DLIS002",10,2880,42,39,46,0.128,0.124,0.132
"11","SEIR","dense","DLIS002",10,4320,33,31,36,0.153,0.149,0.156
"12","SEIR","intermediate","DCLU004",0.1,2880,53,37,108,0.003,0.002,0.005
"13","SEIR","intermediate","DCLU004",0.1,4320,136,109,166,0.019,0.015,0.02
"14","SEIR","intermediate","DCLU004",0.5,2880,136.5,123.5,142.5,0.019,0.017,0.022
"15","SEIR","intermediate","DCLU004",0.5,4320,103,90,116,0.044,0.041,0.048
"16","SEIR","intermediate","DCLU004",1,2880,112,98,130,0.035,0.032,0.039
"17","SEIR","intermediate","DCLU004",1,4320,77,70,87,0.07,0.067,0.073
"18","SEIR","intermediate","DCLU004",2,2880,80,72,90.25,0.064,0.06,0.068
"19","SEIR","intermediate","DCLU004",2,4320,57,53,64,0.101,0.097,0.104
"20","SEIR","intermediate","DCLU004",10,288,40,24,41,0.014,0.01,0.021
"21","SEIR","intermediate","DCLU004",10,2880,41,39,45,0.13,0.125,0.134
"22","SEIR","intermediate","DCLU004",10,4320,33,30,35,0.156,0.152,0.159
"23","SEIR","sparse","DTOW005",0.1,2880,104,92,118,0.049,0.044,0.054
"24","SEIR","sparse","DTOW005",0.1,4320,71,66,77,0.079,0.074,0.084
"25","SEIR","sparse","DTOW005",0.5,2880,75,67,84,0.072,0.068,0.076
"26","SEIR","sparse","DTOW005",0.5,4320,55,51,60.5,0.106,0.102,0.11
"27","SEIR","sparse","DTOW005",1,2880,65,58,71,0.086,0.082,0.091
"28","SEIR","sparse","DTOW005",1,4320,49,45,53,0.118,0.115,0.122
"29","SEIR","sparse","DTOW005",2,2880,55,51,62,0.101,0.097,0.105
"30","SEIR","sparse","DTOW005",2,4320,42,40,46,0.131,0.128,0.134
"31","SEIR","sparse","DTOW005",10,288,37,29,50.25,0.017,0.015,0.023
"32","SEIR","sparse","DTOW005",10,2880,38,35,41,0.14,0.135,0.144
"33","SEIR","sparse","DTOW005",10,4320,30,28,33,0.16,0.157,0.164
"34","SEIRns","x homogenous","DCLU004",0.1,288,36,21.75,56.5,0.017,0.014,0.021
"35","SEIRns","x homogenous","DCLU004",0.1,2880,28,26,30,0.164,0.16,0.168
"36","SEIRns","x homogenous","DCLU004",0.1,4320,23,22,24,0.179,0.176,0.183
"37","SEIRns","x homogenous","DCLU004",0.5,288,39,24,64.5,0.017,0.014,0.021
"38","SEIRns","x homogenous","DCLU004",0.5,2880,28,26,30,0.165,0.161,0.168
"39","SEIRns","x homogenous","DCLU004",0.5,4320,23,22,24,0.179,0.176,0.183
"40","SEIRns","x homogenous","DCLU004",1,288,41.5,25.75,58.25,0.021,0.014,0.021
"41","SEIRns","x homogenous","DCLU004",1,2880,27,26,30,0.164,0.16,0.168
"42","SEIRns","x homogenous","DCLU004",1,4320,23,21,25,0.179,0.175,0.182
"43","SEIRns","x homogenous","DCLU004",2,288,24.5,18,50.25,0.017,0.014,0.021
"44","SEIRns","x homogenous","DCLU004",2,2880,27,26,30,0.163,0.16,0.168
"45","SEIRns","x homogenous","DCLU004",2,4320,23,22,25,0.179,0.175,0.182
"46","SEIRns","x homogenous","DCLU004",10,288,43.5,30.25,59.75,0.017,0.014,0.024
"47","SEIRns","x homogenous","DCLU004",10,2880,28,26,30,0.164,0.16,0.168
"48","SEIRns","x homogenous","DCLU004",10,4320,23,22,24,0.179,0.176,0.182
"49","SEIRns","x homogenous","DLIS002",0.1,288,43,25.5,59,0.017,0.014,0.028
"50","SEIRns","x homogenous","DLIS002",0.1,2880,28,26,29,0.164,0.16,0.169
"51","SEIRns","x homogenous","DLIS002",0.1,4320,23,22,25,0.177,0.174,0.181
"52","SEIRns","x homogenous","DLIS002",0.5,288,36,19.25,63,0.017,0.014,0.024
"53","SEIRns","x homogenous","DLIS002",0.5,2880,28,26,30,0.165,0.161,0.169
"54","SEIRns","x homogenous","DLIS002",0.5,4320,23,21,24,0.177,0.174,0.181
"55","SEIRns","x homogenous","DLIS002",1,288,46,31,66,0.021,0.016,0.028
"56","SEIRns","x homogenous","DLIS002",1,2880,28,26,30,0.165,0.161,0.169
"57","SEIRns","x homogenous","DLIS002",1,4320,23,22,24,0.178,0.174,0.181
"58","SEIRns","x homogenous","DLIS002",2,288,41,26,60.5,0.021,0.014,0.028
"59","SEIRns","x homogenous","DLIS002",2,2880,28,26,30,0.164,0.16,0.168
"60","SEIRns","x homogenous","DLIS002",2,4320,23,21,24,0.178,0.174,0.181
"61","SEIRns","x homogenous","DLIS002",10,288,41,28,67.25,0.021,0.014,0.028
"62","SEIRns","x homogenous","DLIS002",10,2880,28,26,30,0.165,0.161,0.168
"63","SEIRns","x homogenous","DLIS002",10,4320,23,22,24,0.178,0.175,0.181
"64","SEIRns","x homogenous","DTOW005",0.1,288,41.5,26,65.5,0.017,0.014,0.024
"65","SEIRns","x homogenous","DTOW005",0.1,2880,28,26,30,0.165,0.161,0.168
"66","SEIRns","x homogenous","DTOW005",0.1,4320,23,22,25,0.178,0.174,0.181
"67","SEIRns","x homogenous","DTOW005",0.5,288,40,24.75,59,0.017,0.014,0.024
"68","SEIRns","x homogenous","DTOW005",0.5,2880,28,26,30,0.165,0.161,0.168
"69","SEIRns","x homogenous","DTOW005",0.5,4320,23,22,24,0.178,0.174,0.181
"70","SEIRns","x homogenous","DTOW005",1,288,41,22.75,68,0.017,0.014,0.028
"71","SEIRns","x homogenous","DTOW005",1,2880,28,26,30,0.164,0.16,0.169
"72","SEIRns","x homogenous","DTOW005",1,4320,23,21,25,0.178,0.174,0.181
"73","SEIRns","x homogenous","DTOW005",2,288,40,25,65.5,0.021,0.017,0.024
"74","SEIRns","x homogenous","DTOW005",2,2880,28,26,30,0.165,0.161,0.168
"75","SEIRns","x homogenous","DTOW005",2,4320,23,22,24,0.178,0.175,0.181
"76","SEIRns","x homogenous","DTOW005",10,288,40.5,23.25,61.5,0.017,0.014,0.024
"77","SEIRns","x homogenous","DTOW005",10,2880,28,26,30,0.164,0.16,0.168
"78","SEIRns","x homogenous","DTOW005",10,4320,23,21,24,0.178,0.175,0.181
