"","modstr","structure","R0roost","Beta","theta","Ntot","nsims","count.n","mininf","average.ext.time","median.ext.time","LIQR.ext.time","UIQR.ext.time","prop.success"
"1","SIR","dense",1.052,0.000992,10,288,500,9,11,54.3333333333333,56,44,63,0.018
"2","SIR","dense",1.462,0.000992,0.1,2880,500,39,11,70.8717948717949,68,51,84.5,0.078
"3","SIR","dense",2.193,0.000992,0.1,4320,500,124,11,129.177419354839,126.5,58.75,188.25,0.248
"4","SIR","dense",2.225,0.000992,0.5,2880,500,113,11,139.920353982301,141,74,200,0.226
"5","SIR","dense",3.076,0.000992,1,2880,500,185,11,158.610810810811,158,144,182,0.37
"6","SIR","dense",3.337,0.000992,0.5,4320,500,200,11,154.545,153,140,170,0.4
"7","SIR","dense",4.518,0.000992,2,2880,500,279,19,110.702508960573,110,99,120,0.558
"8","SIR","dense",4.614,0.000992,1,4320,500,280,1717,117.314285714286,115,106,127,0.56
"9","SIR","dense",6.777,0.000992,2,4320,500,356,1992,88.3342696629213,88,80,95,0.712
"10","SIR","dense",10.519,0.000992,10,2880,500,429,1400,70.1142191142191,69,64,75,0.858
"11","SIR","dense",15.779,0.000992,10,4320,500,436,2125,66.9449541284404,65,61,71,0.872
"12","SIR","intermediate",1.085,0.000992,10,288,500,5,11,52.8,47,47,63,0.01
"13","SIR","intermediate",1.885,0.000992,0.1,2880,500,62,12,90.3870967741936,69,49,116.75,0.124
"14","SIR","intermediate",2.652,0.000992,0.5,2880,500,163,11,161.975460122699,176,141,200.5,0.326
"15","SIR","intermediate",2.828,0.000992,0.1,4320,500,160,11,171.99375,174.5,154,204.25,0.32
"16","SIR","intermediate",3.504,0.000992,1,2880,500,215,12,134.702325581395,132,120.5,150,0.43
"17","SIR","intermediate",3.978,0.000992,0.5,4320,500,241,12,126.692946058091,124,113,140,0.482
"18","SIR","intermediate",4.941,0.000992,2,2880,500,304,21,103.019736842105,102,93.75,111,0.608
"19","SIR","intermediate",5.256,0.000992,1,4320,500,331,1823,103.812688821752,102,95,111,0.662
"20","SIR","intermediate",7.411,0.000992,2,4320,500,366,2004,83.6174863387978,83,77,89,0.732
"21","SIR","intermediate",10.85,0.000992,10,2880,500,411,1378,69.2725060827251,69,64,74,0.822
"22","SIR","intermediate",16.275,0.000992,10,4320,500,434,2104,67.0345622119816,66,61,71,0.868
"23","SIR","sparse",0.752,0.000992,2,288,500,1,15,69,69,69,69,0.002
"24","SIR","sparse",1.237,0.000992,10,288,500,6,11,47.6666666666667,47.5,35.25,62.75,0.012
"25","SIR","sparse",5.153,0.000992,0.1,2880,500,340,20,111.347058823529,110,102,119,0.68
"26","SIR","sparse",5.732,0.000992,0.5,2880,500,314,12,94.8407643312102,93,86,102,0.628
"27","SIR","sparse",6.387,0.000992,1,2880,500,345,996,88.3623188405797,86,79,95,0.69
"28","SIR","sparse",7.516,0.000992,2,2880,500,370,1024,79.5621621621622,78,72,85,0.74
"29","SIR","sparse",7.73,0.000992,0.1,4320,500,361,1561,86.7091412742382,85,80,92,0.722
"30","SIR","sparse",8.598,0.000992,0.5,4320,500,396,1582,79.3156565656566,78,73,84,0.792
"31","SIR","sparse",9.581,0.000992,1,4320,500,404,1589,76.3539603960396,75,70,82,0.808
"32","SIR","sparse",11.273,0.000992,2,4320,500,398,1606,71.6582914572864,70,65,77.75,0.796
"33","SIR","sparse",12.365,0.000992,10,2880,500,424,1073,66.5518867924528,65,60,71,0.848
"34","SIR","sparse",18.548,0.000992,10,4320,500,454,1617,65.3127753303965,63,59,70,0.908
"35","SIRns","dense",2,0.000992,0.1,288,500,82,11,64.3292682926829,59,40.5,84.5,0.164
"36","SIRns","dense",2,0.000992,0.5,288,500,95,11,61.8315789473684,58,44,79,0.19
"37","SIRns","dense",2,0.000992,1,288,500,80,11,69.95,63,45,89,0.16
"38","SIRns","dense",2,0.000992,2,288,500,86,11,61.6511627906977,63,46.25,76.75,0.172
"39","SIRns","dense",2,0.000992,10,288,500,84,11,64.0357142857143,62,44.75,81.5,0.168
"40","SIRns","dense",20,0.000992,0.1,2880,500,449,1418,61.5567928730512,60,56,66,0.898
"41","SIRns","dense",20,0.000992,0.5,2880,500,460,1419,61.5934782608696,60,55,67,0.92
"42","SIRns","dense",20,0.000992,1,2880,500,459,1418,61.7930283224401,60,55,67,0.918
"43","SIRns","dense",20,0.000992,2,2880,500,453,1418,61.3686534216336,60,55,65,0.906
"44","SIRns","dense",20,0.000992,10,2880,500,438,1419,61.1004566210046,59.5,55,66,0.876
"45","SIRns","dense",30,0.000992,0.1,4320,500,471,2130,61.8131634819533,60,56,66,0.942
"46","SIRns","dense",30,0.000992,0.5,4320,500,469,2129,62.0298507462687,61,56,66,0.938
"47","SIRns","dense",30,0.000992,1,4320,500,464,2130,62.4719827586207,61,56,67,0.928
"48","SIRns","dense",30,0.000992,2,4320,500,460,2130,62.3673913043478,61,56,67,0.92
"49","SIRns","dense",30,0.000992,10,4320,500,455,2130,62.7846153846154,61,56,68,0.91
"50","SIRns","intermediate",2,0.000992,0.1,288,500,69,11,62.2753623188406,56,43,78,0.138
"51","SIRns","intermediate",2,0.000992,0.5,288,500,50,11,57.14,54,36.25,67.75,0.1
"52","SIRns","intermediate",2,0.000992,1,288,500,66,11,55.3333333333333,51,41,63.25,0.132
"53","SIRns","intermediate",2,0.000992,2,288,500,62,11,57.6290322580645,53,37.25,66.75,0.124
"54","SIRns","intermediate",2,0.000992,10,288,500,59,11,64.3559322033898,59,45,76.5,0.118
"55","SIRns","intermediate",20,0.000992,0.1,2880,500,458,1393,61.7991266375546,60,55,67,0.916
"56","SIRns","intermediate",20,0.000992,0.5,2880,500,458,1394,61.6637554585153,60,56,66,0.916
"57","SIRns","intermediate",20,0.000992,1,2880,500,448,1393,61.9553571428571,61,55,67,0.896
"58","SIRns","intermediate",20,0.000992,2,2880,500,445,1393,61.4224719101124,60,56,66,0.89
"59","SIRns","intermediate",20,0.000992,10,2880,500,454,1394,62.125550660793,60.5,56,67,0.908
"60","SIRns","intermediate",30,0.000992,0.1,4320,500,459,2108,62.0174291938998,61,56,67,0.918
"61","SIRns","intermediate",30,0.000992,0.5,4320,500,476,2107,62.3172268907563,61,56,67,0.952
"62","SIRns","intermediate",30,0.000992,1,4320,500,461,2108,61.8893709327549,61,56,66,0.922
"63","SIRns","intermediate",30,0.000992,2,4320,500,460,2108,61.945652173913,60,55,66,0.92
"64","SIRns","intermediate",30,0.000992,10,4320,500,460,2108,62.8239130434783,61.5,56,68,0.92
"65","SIRns","sparse",2,0.000992,0.1,288,500,63,11,63.0952380952381,63,47.5,76.5,0.126
"66","SIRns","sparse",2,0.000992,0.5,288,500,63,11,69.5873015873016,64,46,91,0.126
"67","SIRns","sparse",2,0.000992,1,288,500,68,11,65.5441176470588,60,39.75,80.5,0.136
"68","SIRns","sparse",2,0.000992,2,288,500,59,11,59.8813559322034,55,42.5,73.5,0.118
"69","SIRns","sparse",2,0.000992,10,288,500,66,11,68.8030303030303,64,47.25,82.25,0.132
"70","SIRns","sparse",20,0.000992,0.1,2880,500,438,1079,61.8493150684931,60.5,55,66,0.876
"71","SIRns","sparse",20,0.000992,0.5,2880,500,453,1078,61.4988962472406,60,55,66,0.906
"72","SIRns","sparse",20,0.000992,1,2880,500,451,1079,61.4212860310421,60,55,66,0.902
"73","SIRns","sparse",20,0.000992,2,2880,500,441,1079,61.8208616780045,60,55,66,0.882
"74","SIRns","sparse",20,0.000992,10,2880,500,451,1079,61.9645232815964,60,56,66,0.902
"75","SIRns","sparse",30,0.000992,0.1,4320,500,472,1620,62.228813559322,61,56,67,0.944
"76","SIRns","sparse",30,0.000992,0.5,4320,500,464,1619,62.7931034482759,61,57,68,0.928
"77","SIRns","sparse",30,0.000992,1,4320,500,470,1620,61.2829787234043,60,55,65,0.94
"78","SIRns","sparse",30,0.000992,2,4320,500,469,1620,63.5351812366738,62,57,68,0.938
"79","SIRns","sparse",30,0.000992,10,4320,500,470,1619,62.536170212766,61,56,67,0.94
